College Code,Category,Autonomous Status,Co.Ed Status,District,College Name,COURSE,TOTAL,OC,BC,BCM,MBC,SC,SCA,ST
3016,AU UNIV,Non Autonomous,Co.Ed,ARIYALUR,University College of Engineering  Ariyalur  Kathankudikadu Village  Thelur Post  Ariyalur District 621704,EC,58,17.98,15.37,2.03,11.6,8.7,1.74,0.58
3016,AU UNIV,Non Autonomous,Co.Ed,ARIYALUR,University College of Engineering  Ariyalur  Kathankudikadu Village  Thelur Post  Ariyalur District 621704,EE,59,18.29,15.635,2.065,11.8,8.85,1.77,0.59
3016,AU UNIV,Non Autonomous,Co.Ed,ARIYALUR,University College of Engineering  Ariyalur  Kathankudikadu Village  Thelur Post  Ariyalur District 621704,ME,59,18.29,15.635,2.065,11.8,8.85,1.77,0.59
3016,AU UNIV,Non Autonomous,Co.Ed,ARIYALUR,University College of Engineering  Ariyalur  Kathankudikadu Village  Thelur Post  Ariyalur District 621704,XC,30,9.3,7.95,1.05,6,4.5,0.9,0.3
3016,AU UNIV,Non Autonomous,Co.Ed,ARIYALUR,University College of Engineering  Ariyalur  Kathankudikadu Village  Thelur Post  Ariyalur District 621704,XM,29,8.99,7.685,1.015,5.8,4.35,0.87,0.29
3016 Total,,,,,,,353,109.43,93.545,12.355,70.6,52.95,10.59,3.53
3018,AU UNIV,Non Autonomous,Co.Ed,NAGAPATTINAM,University College of Engineering  Thirukkuvalai  Nagappattinam District 610204,CE,59,18.29,15.635,2.065,11.8,8.85,1.77,0.59
3018,AU UNIV,Non Autonomous,Co.Ed,NAGAPATTINAM,University College of Engineering  Thirukkuvalai  Nagappattinam District 610204,CS,59,18.29,15.635,2.065,11.8,8.85,1.77,0.59
3018,AU UNIV,Non Autonomous,Co.Ed,NAGAPATTINAM,University College of Engineering  Thirukkuvalai  Nagappattinam District 610204,EC,59,18.29,15.635,2.065,11.8,8.85,1.77,0.59
3018,AU UNIV,Non Autonomous,Co.Ed,NAGAPATTINAM,University College of Engineering  Thirukkuvalai  Nagappattinam District 610204,EE,59,18.29,15.635,2.065,11.8,8.85,1.77,0.59
3018,AU UNIV,Non Autonomous,Co.Ed,NAGAPATTINAM,University College of Engineering  Thirukkuvalai  Nagappattinam District 610204,ME,59,18.29,15.635,2.065,11.8,8.85,1.77,0.59
3018,AU UNIV,Non Autonomous,Co.Ed,NAGAPATTINAM,University College of Engineering  Thirukkuvalai  Nagappattinam District 610204,XC,29,8.99,7.685,1.015,5.8,4.35,0.87,0.29
3018,AU UNIV,Non Autonomous,Co.Ed,NAGAPATTINAM,University College of Engineering  Thirukkuvalai  Nagappattinam District 610204,XM,29,8.99,7.685,1.015,5.8,4.35,0.87,0.29
3018 Total,,,,,,,353,109.43,93.545,12.355,70.6,52.95,10.59,3.53
3019,AU UNIV,Non Autonomous,Co.Ed,CUDDALORE,University College of Engineering  Panruti  Chennai-Kumbakonam Highway  Panikkankuppam  Panruti  Cuddalore District 607106,CE,59,18.29,15.635,2.065,11.8,8.85,1.77,0.59
3019,AU UNIV,Non Autonomous,Co.Ed,CUDDALORE,University College of Engineering  Panruti  Chennai-Kumbakonam Highway  Panikkankuppam  Panruti  Cuddalore District 607106,CS,59,18.29,15.635,2.065,11.8,8.85,1.77,0.59
3019,AU UNIV,Non Autonomous,Co.Ed,CUDDALORE,University College of Engineering  Panruti  Chennai-Kumbakonam Highway  Panikkankuppam  Panruti  Cuddalore District 607106,EC,59,18.29,15.635,2.065,11.8,8.85,1.77,0.59
3019,AU UNIV,Non Autonomous,Co.Ed,CUDDALORE,University College of Engineering  Panruti  Chennai-Kumbakonam Highway  Panikkankuppam  Panruti  Cuddalore District 607106,EE,59,18.29,15.635,2.065,11.8,8.85,1.77,0.59
3019,AU UNIV,Non Autonomous,Co.Ed,CUDDALORE,University College of Engineering  Panruti  Chennai-Kumbakonam Highway  Panikkankuppam  Panruti  Cuddalore District 607106,ME,58,17.98,15.37,2.03,11.6,8.7,1.74,0.58
3019,AU UNIV,Non Autonomous,Co.Ed,CUDDALORE,University College of Engineering  Panruti  Chennai-Kumbakonam Highway  Panikkankuppam  Panruti  Cuddalore District 607106,XC,29,8.99,7.685,1.015,5.8,4.35,0.87,0.29
3019,AU UNIV,Non Autonomous,Co.Ed,CUDDALORE,University College of Engineering  Panruti  Chennai-Kumbakonam Highway  Panikkankuppam  Panruti  Cuddalore District 607106,XM,30,9.3,7.95,1.05,6,4.5,0.9,0.3
3019 Total,,,,,,,353,109.43,93.545,12.355,70.6,52.95,10.59,3.53
3021,AU UNIV,Non Autonomous,Co.Ed,THANJAVUR,University College of Engineering  Pattukkottai  ECR Road  Rajamadam  Pattukkottai Taluk  Thanjavur District 614701,CE,59,18.29,15.635,2.065,11.8,8.85,1.77,0.59
3021,AU UNIV,Non Autonomous,Co.Ed,THANJAVUR,University College of Engineering  Pattukkottai  ECR Road  Rajamadam  Pattukkottai Taluk  Thanjavur District 614701,CS,58,17.98,15.37,2.03,11.6,8.7,1.74,0.58
3021,AU UNIV,Non Autonomous,Co.Ed,THANJAVUR,University College of Engineering  Pattukkottai  ECR Road  Rajamadam  Pattukkottai Taluk  Thanjavur District 614701,EC,59,18.29,15.635,2.065,11.8,8.85,1.77,0.59
3021,AU UNIV,Non Autonomous,Co.Ed,THANJAVUR,University College of Engineering  Pattukkottai  ECR Road  Rajamadam  Pattukkottai Taluk  Thanjavur District 614701,EE,59,18.29,15.635,2.065,11.8,8.85,1.77,0.59
