College Code,Category,Autonomous Status,Co.Ed Status,District,College Name,COURSE,TOTAL,Processed
1514,NM,Non Autonomous,Co.Ed,THIRUPPATTUR,Sri Nandhanam College of Engineering and Technology  Molagarampatti  Tirupattur  Vellore-635601,BT,59,15141514
1514,NM,Non Autonomous,Co.Ed,THIRUPPATTUR,Sri Nandhanam College of Engineering and Technology  Molagarampatti  Tirupattur  Vellore-635601,CS,59,15141514
1514,NM,Non Autonomous,Co.Ed,THIRUPPATTUR,Sri Nandhanam College of Engineering and Technology  Molagarampatti  Tirupattur  Vellore-635601,EE,41,15141514
1514,NM,Non Autonomous,Co.Ed,THIRUPPATTUR,Sri Nandhanam College of Engineering and Technology  Molagarampatti  Tirupattur  Vellore-635601,ME,59,15141514
1514,NM,Non Autonomous,Co.Ed,THIRUPPATTUR,Sri Nandhanam College of Engineering and Technology  Molagarampatti  Tirupattur  Vellore-635601,MR,30,15141514
1514 Total,,,,,,,248,1514 Total1514 Total
1517,NM,Non Autonomous,Co.Ed,KANCHEEPURAM,Thirumalai Engineering College  Kilambi  Kancheepuram District 631551,AD,21,15171517
1517,NM,Non Autonomous,Co.Ed,KANCHEEPURAM,Thirumalai Engineering College  Kilambi  Kancheepuram District 631551,CE,25,15171517
1517,NM,Non Autonomous,Co.Ed,KANCHEEPURAM,Thirumalai Engineering College  Kilambi  Kancheepuram District 631551,CS,98,15171517
1517,NM,Non Autonomous,Co.Ed,KANCHEEPURAM,Thirumalai Engineering College  Kilambi  Kancheepuram District 631551,EC,25,15171517
1517,NM,Non Autonomous,Co.Ed,KANCHEEPURAM,Thirumalai Engineering College  Kilambi  Kancheepuram District 631551,EE,25,15171517
1517,NM,Non Autonomous,Co.Ed,KANCHEEPURAM,Thirumalai Engineering College  Kilambi  Kancheepuram District 631551,IT,22,15171517
1517,NM,Non Autonomous,Co.Ed,KANCHEEPURAM,Thirumalai Engineering College  Kilambi  Kancheepuram District 631551,ME,38,15171517
1517 Total,,,,,,,254,1517 Total1517 Total
1518,NM,Non Autonomous,Co.Ed,THIRUVANNAMALAI,Thiruvalluvar College of Engineering and Technology  Vandavasi  Thiruvannamalai District 604505,AE,45,15181518
1518,NM,Non Autonomous,Co.Ed,THIRUVANNAMALAI,Thiruvalluvar College of Engineering and Technology  Vandavasi  Thiruvannamalai District 604505,AM,29,15181518
1518,NM,Non Autonomous,Co.Ed,THIRUVANNAMALAI,Thiruvalluvar College of Engineering and Technology  Vandavasi  Thiruvannamalai District 604505,AU,29,15181518
1518,NM,Non Autonomous,Co.Ed,THIRUVANNAMALAI,Thiruvalluvar College of Engineering and Technology  Vandavasi  Thiruvannamalai District 604505,CE,67,15181518
1518,NM,Non Autonomous,Co.Ed,THIRUVANNAMALAI,Thiruvalluvar College of Engineering and Technology  Vandavasi  Thiruvannamalai District 604505,CS,88,15181518
1518,NM,Non Autonomous,Co.Ed,THIRUVANNAMALAI,Thiruvalluvar College of Engineering and Technology  Vandavasi  Thiruvannamalai District 604505,EC,59,15181518
1518,NM,Non Autonomous,Co.Ed,THIRUVANNAMALAI,Thiruvalluvar College of Engineering and Technology  Vandavasi  Thiruvannamalai District 604505,EE,44,15181518
1518,NM,Non Autonomous,Co.Ed,THIRUVANNAMALAI,Thiruvalluvar College of Engineering and Technology  Vandavasi  Thiruvannamalai District 604505,EI,29,15181518
1518,NM,Non Autonomous,Co.Ed,THIRUVANNAMALAI,Thiruvalluvar College of Engineering and Technology  Vandavasi  Thiruvannamalai District 604505,IT,67,15181518
1518,NM,Non Autonomous,Co.Ed,THIRUVANNAMALAI,Thiruvalluvar College of Engineering and Technology  Vandavasi  Thiruvannamalai District 604505,ME,88,15181518
1518,NM,Non Autonomous,Co.Ed,THIRUVANNAMALAI,Thiruvalluvar College of Engineering and Technology  Vandavasi  Thiruvannamalai District 604505,PC,29,15181518
1518 Total,,,,,,,574,1518 Total1518 Total
1519,NM,Non Autonomous,Co.Ed,THIRUPATHUR,Bharathidasan Engineering College  Nattrampalli Post  Thiruppathur District 635854,CE,25,15191519
1519,NM,Non Autonomous,Co.Ed,THIRUPATHUR,Bharathidasan Engineering College  Nattrampalli Post  Thiruppathur District 635854,CS,78,15191519
1519,NM,Non Autonomous,Co.Ed,THIRUPATHUR,Bharathidasan Engineering College  Nattrampalli Post  Thiruppathur District 635854,EC,54,15191519
1519,NM,Non Autonomous,Co.Ed,THIRUPATHUR,Bharathidasan Engineering College  Nattrampalli Post  Thiruppathur District 635854,EE,54,15191519
1519,NM,Non Autonomous,Co.Ed,THIRUPATHUR,Bharathidasan Engineering College  Nattrampalli Post  Thiruppathur District 635854,IT,49,15191519
